period,stateid,stateDescription,sectorid,sectorName,price,price-units
2001-01,MA,Massachusetts,TRA,transportation,,cents per kilowatthour
2001-01,MA,Massachusetts,RES,residential,11.86,cents per kilowatthour
2001-01,MA,Massachusetts,OTH,other,14.1,cents per kilowatthour
2001-01,MA,Massachusetts,IND,industrial,9.32,cents per kilowatthour
2001-01,MA,Massachusetts,COM,commercial,10.53,cents per kilowatthour
2001-01,MA,Massachusetts,ALL,all sectors,10.9,cents per kilowatthour
2001-02,MA,Massachusetts,COM,commercial,10.94,cents per kilowatthour
2001-02,MA,Massachusetts,IND,industrial,8.67,cents per kilowatthour
2001-02,MA,Massachusetts,OTH,other,14.36,cents per kilowatthour
2001-02,MA,Massachusetts,RES,residential,12.03,cents per kilowatthour
2001-02,MA,Massachusetts,TRA,transportation,,cents per kilowatthour
2001-02,MA,Massachusetts,ALL,all sectors,10.93,cents per kilowatthour
2001-03,MA,Massachusetts,TRA,transportation,,cents per kilowatthour
2001-03,MA,Massachusetts,ALL,all sectors,11.15,cents per kilowatthour
2001-03,MA,Massachusetts,COM,commercial,11.08,cents per kilowatthour
2001-03,MA,Massachusetts,IND,industrial,9.23,cents per kilowatthour
2001-03,MA,Massachusetts,OTH,other,14.69,cents per kilowatthour
2001-03,MA,Massachusetts,RES,residential,12.08,cents per kilowatthour
2001-04,MA,Massachusetts,COM,commercial,11.47,cents per kilowatthour
2001-04,MA,Massachusetts,IND,industrial,9.57,cents per kilowatthour
2001-04,MA,Massachusetts,OTH,other,15.89,cents per kilowatthour
2001-04,MA,Massachusetts,RES,residential,12.49,cents per kilowatthour
2001-04,MA,Massachusetts,TRA,transportation,,cents per kilowatthour
2001-04,MA,Massachusetts,ALL,all sectors,11.52,cents per kilowatthour
2001-05,MA,Massachusetts,COM,commercial,11.6,cents per kilowatthour
2001-05,MA,Massachusetts,IND,industrial,9.34,cents per kilowatthour
2001-05,MA,Massachusetts,OTH,other,15.81,cents per kilowatthour
2001-05,MA,Massachusetts,RES,residential,12.47,cents per kilowatthour
2001-05,MA,Massachusetts,TRA,transportation,,cents per kilowatthour
2001-05,MA,Massachusetts,ALL,all sectors,11.45,cents per kilowatthour
2001-06,MA,Massachusetts,COM,commercial,12.68,cents per kilowatthour
2001-06,MA,Massachusetts,IND,industrial,9.8,cents per kilowatthour
2001-06,MA,Massachusetts,OTH,other,16.22,cents per kilowatthour
2001-06,MA,Massachusetts,RES,residential,12.57,cents per kilowatthour
2001-06,MA,Massachusetts,TRA,transportation,,cents per kilowatthour
2001-06,MA,Massachusetts,ALL,all sectors,12.11,cents per kilowatthour
2001-07,MA,Massachusetts,TRA,transportation,,cents per kilowatthour
2001-07,MA,Massachusetts,RES,residential,13.24,cents per kilowatthour
2001-07,MA,Massachusetts,OTH,other,15.91,cents per kilowatthour
2001-07,MA,Massachusetts,IND,industrial,10.83,cents per kilowatthour
2001-07,MA,Massachusetts,COM,commercial,14.37,cents per kilowatthour
2001-07,MA,Massachusetts,ALL,all sectors,13.35,cents per kilowatthour
2001-08,MA,Massachusetts,COM,commercial,8.57,cents per kilowatthour
2001-08,MA,Massachusetts,IND,industrial,9.53,cents per kilowatthour
2001-08,MA,Massachusetts,OTH,other,16.26,cents per kilowatthour
